Timestamp,Telemetry_Gap_ms,Mean_Gap_ms,Max_Gap_ms
2026-04-28T03:00:21.209287,0.362,0.362,0.362
2026-04-28T03:00:21.209527,0.302,0.332,0.362
2026-04-28T03:00:21.209687,0.176,0.280,0.362
2026-04-28T03:00:21.209869,0.180,0.255,0.362
2026-04-28T03:00:21.210018,0.153,0.235,0.362
2026-04-28T03:00:21.210161,0.144,0.220,0.362
2026-04-28T03:00:21.210297,0.137,0.208,0.362
2026-04-28T03:00:21.210433,0.139,0.199,0.362
2026-04-28T03:00:21.210563,0.129,0.191,0.362
2026-04-28T03:00:21.210689,0.126,0.185,0.362
2026-04-28T03:00:21.210890,0.196,0.186,0.362
2026-04-28T03:00:21.211036,0.150,0.183,0.362
2026-04-28T03:00:21.211195,0.159,0.181,0.362
2026-04-28T03:00:21.211333,0.136,0.178,0.362
2026-04-28T03:00:21.211476,0.143,0.175,0.362
2026-04-28T03:00:21.211622,0.147,0.174,0.362
2026-04-28T03:00:21.211762,0.139,0.172,0.362
2026-04-28T03:00:21.211899,0.138,0.170,0.362
2026-04-28T03:00:21.212025,0.127,0.168,0.362
2026-04-28T03:00:21.212152,0.128,0.166,0.362
2026-04-28T03:00:21.212276,0.124,0.164,0.362
2026-04-28T03:00:21.212403,0.128,0.162,0.362
2026-04-28T03:00:21.212523,0.120,0.160,0.362
2026-04-28T03:00:21.212640,0.118,0.158,0.362
2026-04-28T03:00:21.212771,0.128,0.157,0.362
2026-04-28T03:00:21.212899,0.129,0.156,0.362
2026-04-28T03:00:21.213021,0.122,0.155,0.362
2026-04-28T03:00:21.213141,0.121,0.154,0.362
2026-04-28T03:00:21.213260,0.119,0.152,0.362
2026-04-28T03:00:21.213377,0.116,0.151,0.362
2026-04-28T03:00:21.213497,0.120,0.150,0.362
2026-04-28T03:00:21.213615,0.118,0.149,0.362
2026-04-28T03:00:21.213780,0.161,0.150,0.362
2026-04-28T03:00:21.213921,0.143,0.149,0.362
2026-04-28T03:00:21.214069,0.148,0.149,0.362
2026-04-28T03:00:21.214196,0.128,0.149,0.362
2026-04-28T03:00:21.214330,0.128,0.148,0.362
2026-04-28T03:00:21.214479,0.149,0.148,0.362
2026-04-28T03:00:21.214610,0.135,0.148,0.362
2026-04-28T03:00:21.214740,0.121,0.147,0.362
2026-04-28T03:00:21.214872,0.140,0.147,0.362
2026-04-28T03:00:21.214995,0.127,0.147,0.362
2026-04-28T03:00:21.215114,0.119,0.146,0.362
2026-04-28T03:00:21.215239,0.124,0.145,0.362
2026-04-28T03:00:21.215362,0.121,0.145,0.362
2026-04-28T03:00:21.215489,0.127,0.144,0.362
2026-04-28T03:00:21.215616,0.127,0.144,0.362
2026-04-28T03:00:21.215757,0.138,0.144,0.362
2026-04-28T03:00:21.215893,0.139,0.144,0.362
2026-04-28T03:00:21.216018,0.128,0.144,0.362
2026-04-28T03:00:21.216138,0.121,0.143,0.362
2026-04-28T03:00:21.216257,0.119,0.143,0.362
2026-04-28T03:00:21.216379,0.121,0.142,0.362
2026-04-28T03:00:21.216502,0.123,0.142,0.362
2026-04-28T03:00:21.216660,0.157,0.142,0.362
2026-04-28T03:00:21.216807,0.146,0.142,0.362
2026-04-28T03:00:21.216965,0.158,0.142,0.362
2026-04-28T03:00:21.217095,0.132,0.142,0.362
2026-04-28T03:00:21.217218,0.124,0.142,0.362
2026-04-28T03:00:21.217345,0.128,0.142,0.362
2026-04-28T03:00:21.217464,0.119,0.141,0.362
2026-04-28T03:00:21.217581,0.117,0.141,0.362
2026-04-28T03:00:21.217709,0.118,0.141,0.362
2026-04-28T03:00:21.217841,0.139,0.141,0.362
2026-04-28T03:00:21.217964,0.124,0.140,0.362
2026-04-28T03:00:21.218085,0.122,0.140,0.362
2026-04-28T03:00:21.218202,0.117,0.140,0.362
2026-04-28T03:00:21.218319,0.117,0.139,0.362
2026-04-28T03:00:21.218435,0.116,0.139,0.362
2026-04-28T03:00:21.218569,0.133,0.139,0.362
2026-04-28T03:00:21.218690,0.122,0.139,0.362
2026-04-28T03:00:21.218828,0.135,0.139,0.362
2026-04-28T03:00:21.218951,0.124,0.138,0.362
2026-04-28T03:00:21.219081,0.131,0.138,0.362
2026-04-28T03:00:21.219208,0.124,0.138,0.362
2026-04-28T03:00:21.219329,0.122,0.138,0.362
2026-04-28T03:00:21.219482,0.152,0.138,0.362
2026-04-28T03:00:21.219615,0.134,0.138,0.362
2026-04-28T03:00:21.219772,0.154,0.138,0.362
2026-04-28T03:00:21.219911,0.140,0.138,0.362
2026-04-28T03:00:21.220034,0.125,0.138,0.362
2026-04-28T03:00:21.220162,0.128,0.138,0.362
2026-04-28T03:00:21.220282,0.120,0.138,0.362
2026-04-28T03:00:21.220405,0.123,0.138,0.362
2026-04-28T03:00:21.220522,0.119,0.137,0.362
2026-04-28T03:00:21.220619,0.103,0.137,0.362
2026-04-28T03:00:21.220711,0.087,0.136,0.362
2026-04-28T03:00:21.220806,0.100,0.136,0.362
2026-04-28T03:00:21.220914,0.108,0.136,0.362
2026-04-28T03:00:21.221011,0.098,0.135,0.362
2026-04-28T03:00:21.221095,0.084,0.135,0.362
2026-04-28T03:00:21.221180,0.085,0.134,0.362
2026-04-28T03:00:21.221265,0.085,0.134,0.362
2026-04-28T03:00:21.221351,0.086,0.133,0.362
2026-04-28T03:00:21.221434,0.083,0.133,0.362
2026-04-28T03:00:21.221519,0.085,0.132,0.362
2026-04-28T03:00:21.221604,0.086,0.132,0.362
2026-04-28T03:00:21.221688,0.084,0.131,0.362
2026-04-28T03:00:21.221814,0.123,0.131,0.362
2026-04-28T03:00:21.221928,0.113,0.131,0.362
2026-04-28T03:00:21.222040,0.110,0.128,0.302
2026-04-28T03:00:21.222133,0.096,0.126,0.196
2026-04-28T03:00:21.222220,0.089,0.125,0.196
2026-04-28T03:00:21.222313,0.093,0.125,0.196
2026-04-28T03:00:21.222399,0.086,0.124,0.196
2026-04-28T03:00:21.222486,0.086,0.123,0.196
2026-04-28T03:00:21.222572,0.086,0.123,0.196
2026-04-28T03:00:21.222657,0.086,0.122,0.196
2026-04-28T03:00:21.222752,0.092,0.122,0.196
2026-04-28T03:00:21.222846,0.095,0.122,0.196
2026-04-28T03:00:21.222933,0.087,0.121,0.161
2026-04-28T03:00:21.223016,0.084,0.120,0.161
2026-04-28T03:00:21.223111,0.095,0.119,0.161
2026-04-28T03:00:21.223195,0.084,0.119,0.161
2026-04-28T03:00:21.223279,0.084,0.118,0.161
2026-04-28T03:00:21.223363,0.084,0.118,0.161
2026-04-28T03:00:21.223447,0.084,0.117,0.161
2026-04-28T03:00:21.223530,0.084,0.116,0.161
2026-04-28T03:00:21.223615,0.085,0.116,0.161
2026-04-28T03:00:21.223706,0.084,0.116,0.161
2026-04-28T03:00:21.223822,0.119,0.116,0.161
2026-04-28T03:00:21.223918,0.098,0.115,0.161
2026-04-28T03:00:21.224021,0.103,0.115,0.161
2026-04-28T03:00:21.224111,0.091,0.115,0.161
2026-04-28T03:00:21.224199,0.088,0.114,0.161
2026-04-28T03:00:21.224291,0.092,0.114,0.161
2026-04-28T03:00:21.224376,0.085,0.114,0.161
2026-04-28T03:00:21.224461,0.085,0.113,0.161
2026-04-28T03:00:21.224546,0.085,0.113,0.161
2026-04-28T03:00:21.224635,0.087,0.113,0.161
2026-04-28T03:00:21.224729,0.086,0.112,0.161
2026-04-28T03:00:21.224822,0.101,0.112,0.161
2026-04-28T03:00:21.224909,0.087,0.111,0.158
2026-04-28T03:00:21.224992,0.084,0.111,0.158
2026-04-28T03:00:21.225076,0.083,0.110,0.158
2026-04-28T03:00:21.225161,0.085,0.110,0.158
2026-04-28T03:00:21.225246,0.085,0.109,0.158
2026-04-28T03:00:21.225330,0.085,0.109,0.158
2026-04-28T03:00:21.225414,0.083,0.108,0.158
2026-04-28T03:00:21.225498,0.084,0.108,0.158
2026-04-28T03:00:21.225582,0.085,0.107,0.158
2026-04-28T03:00:21.225666,0.083,0.107,0.158
2026-04-28T03:00:21.225780,0.112,0.107,0.158
2026-04-28T03:00:21.225880,0.101,0.106,0.158
2026-04-28T03:00:21.225983,0.103,0.106,0.158
2026-04-28T03:00:21.226073,0.092,0.106,0.158
2026-04-28T03:00:21.226159,0.086,0.106,0.158
2026-04-28T03:00:21.226248,0.090,0.105,0.158
2026-04-28T03:00:21.226333,0.085,0.105,0.158
2026-04-28T03:00:21.226418,0.085,0.104,0.158
2026-04-28T03:00:21.226502,0.084,0.104,0.158
2026-04-28T03:00:21.226588,0.085,0.103,0.158
2026-04-28T03:00:21.226671,0.084,0.103,0.158
2026-04-28T03:00:21.226765,0.092,0.103,0.158
2026-04-28T03:00:21.226855,0.090,0.102,0.158
2026-04-28T03:00:21.226940,0.086,0.101,0.158
2026-04-28T03:00:21.227024,0.085,0.101,0.154
2026-04-28T03:00:21.227109,0.085,0.100,0.154
2026-04-28T03:00:21.227193,0.084,0.100,0.154
2026-04-28T03:00:21.227281,0.087,0.099,0.154
2026-04-28T03:00:21.227366,0.085,0.099,0.154
2026-04-28T03:00:21.227449,0.084,0.099,0.154
2026-04-28T03:00:21.227534,0.085,0.098,0.154
2026-04-28T03:00:21.227617,0.083,0.098,0.154
2026-04-28T03:00:21.227730,0.103,0.098,0.154
2026-04-28T03:00:21.227831,0.109,0.098,0.154
2026-04-28T03:00:21.227940,0.109,0.097,0.154
2026-04-28T03:00:21.228031,0.091,0.097,0.154
2026-04-28T03:00:21.228117,0.087,0.097,0.154
2026-04-28T03:00:21.228211,0.093,0.097,0.154
2026-04-28T03:00:21.228298,0.088,0.096,0.154
2026-04-28T03:00:21.228381,0.084,0.096,0.154
2026-04-28T03:00:21.228464,0.083,0.095,0.154
2026-04-28T03:00:21.228548,0.084,0.095,0.154
2026-04-28T03:00:21.228632,0.084,0.094,0.154
2026-04-28T03:00:21.228725,0.085,0.094,0.154
2026-04-28T03:00:21.228817,0.098,0.093,0.154
2026-04-28T03:00:21.228919,0.101,0.093,0.154
2026-04-28T03:00:21.229004,0.086,0.092,0.140
2026-04-28T03:00:21.229089,0.085,0.092,0.128
2026-04-28T03:00:21.229174,0.085,0.092,0.128
2026-04-28T03:00:21.229259,0.085,0.091,0.123
2026-04-28T03:00:21.229342,0.083,0.091,0.123
2026-04-28T03:00:21.229425,0.083,0.090,0.123
2026-04-28T03:00:21.229510,0.085,0.090,0.123
2026-04-28T03:00:21.229593,0.083,0.090,0.123
2026-04-28T03:00:21.229704,0.103,0.090,0.123
2026-04-28T03:00:21.229807,0.108,0.090,0.123
2026-04-28T03:00:21.229911,0.105,0.090,0.123
2026-04-28T03:00:21.230005,0.094,0.090,0.123
2026-04-28T03:00:21.230093,0.088,0.090,0.123
2026-04-28T03:00:21.230183,0.091,0.090,0.123
2026-04-28T03:00:21.230266,0.085,0.090,0.123
2026-04-28T03:00:21.230347,0.081,0.090,0.123
2026-04-28T03:00:21.230427,0.081,0.090,0.123
2026-04-28T03:00:21.230507,0.081,0.090,0.123
2026-04-28T03:00:21.230586,0.079,0.090,0.123
2026-04-28T03:00:21.230667,0.080,0.090,0.123
2026-04-28T03:00:21.230755,0.087,0.089,0.119
2026-04-28T03:00:21.230841,0.086,0.089,0.119
2026-04-28T03:00:21.230922,0.081,0.089,0.119
2026-04-28T03:00:21.231003,0.081,0.089,0.119
2026-04-28T03:00:21.231085,0.082,0.089,0.119
2026-04-28T03:00:21.231166,0.081,0.089,0.119
2026-04-28T03:00:21.231245,0.080,0.088,0.119
2026-04-28T03:00:21.231325,0.080,0.088,0.119
2026-04-28T03:00:21.231407,0.082,0.088,0.119
2026-04-28T03:00:21.231486,0.080,0.088,0.119
2026-04-28T03:00:21.231587,0.099,0.088,0.119
2026-04-28T03:00:21.231674,0.088,0.088,0.119
2026-04-28T03:00:21.231780,0.104,0.088,0.119
2026-04-28T03:00:21.231872,0.093,0.089,0.119
2026-04-28T03:00:21.231955,0.084,0.088,0.119
2026-04-28T03:00:21.232041,0.086,0.088,0.119
2026-04-28T03:00:21.232121,0.081,0.088,0.119
2026-04-28T03:00:21.232201,0.080,0.088,0.119
2026-04-28T03:00:21.232280,0.079,0.088,0.119
2026-04-28T03:00:21.232361,0.081,0.088,0.119
2026-04-28T03:00:21.232441,0.080,0.088,0.119
2026-04-28T03:00:21.232525,0.083,0.088,0.119
2026-04-28T03:00:21.232606,0.081,0.088,0.112
2026-04-28T03:00:21.232685,0.081,0.088,0.112
2026-04-28T03:00:21.232774,0.087,0.088,0.112
2026-04-28T03:00:21.232862,0.088,0.088,0.112
2026-04-28T03:00:21.232943,0.083,0.087,0.112
2026-04-28T03:00:21.233025,0.081,0.087,0.112
2026-04-28T03:00:21.233104,0.080,0.087,0.112
2026-04-28T03:00:21.233184,0.080,0.087,0.112
2026-04-28T03:00:21.233265,0.081,0.087,0.112
2026-04-28T03:00:21.233345,0.080,0.087,0.112
2026-04-28T03:00:21.233446,0.099,0.087,0.112
2026-04-28T03:00:21.233534,0.088,0.087,0.112
2026-04-28T03:00:21.233631,0.097,0.087,0.112
2026-04-28T03:00:21.233723,0.086,0.087,0.112
2026-04-28T03:00:21.233813,0.095,0.087,0.112
2026-04-28T03:00:21.233900,0.089,0.087,0.112
2026-04-28T03:00:21.233981,0.081,0.087,0.112
2026-04-28T03:00:21.234060,0.080,0.087,0.112
2026-04-28T03:00:21.234141,0.080,0.087,0.112
2026-04-28T03:00:21.234221,0.081,0.087,0.112
2026-04-28T03:00:21.234301,0.080,0.087,0.112
2026-04-28T03:00:21.234381,0.080,0.087,0.112
2026-04-28T03:00:21.234461,0.080,0.087,0.109
2026-04-28T03:00:21.234540,0.079,0.087,0.109
2026-04-28T03:00:21.234619,0.079,0.086,0.109
2026-04-28T03:00:21.234705,0.080,0.086,0.109
2026-04-28T03:00:21.234794,0.092,0.086,0.109
2026-04-28T03:00:21.234878,0.085,0.086,0.109
2026-04-28T03:00:21.234959,0.082,0.086,0.109
2026-04-28T03:00:21.235042,0.083,0.086,0.109
2026-04-28T03:00:21.235126,0.083,0.086,0.109
2026-04-28T03:00:21.235207,0.082,0.086,0.109
2026-04-28T03:00:21.235308,0.100,0.086,0.109
2026-04-28T03:00:21.235396,0.089,0.086,0.109
2026-04-28T03:00:21.235494,0.097,0.086,0.109
2026-04-28T03:00:21.235579,0.086,0.086,0.109
2026-04-28T03:00:21.235661,0.082,0.086,0.109
2026-04-28T03:00:21.235754,0.091,0.086,0.109
2026-04-28T03:00:21.235845,0.090,0.086,0.109
2026-04-28T03:00:21.235930,0.086,0.086,0.109
2026-04-28T03:00:21.236013,0.084,0.086,0.109
2026-04-28T03:00:21.236094,0.082,0.086,0.109
2026-04-28T03:00:21.236174,0.080,0.086,0.109
2026-04-28T03:00:21.236255,0.081,0.086,0.109
2026-04-28T03:00:21.236335,0.080,0.086,0.109
2026-04-28T03:00:21.236414,0.079,0.086,0.109
2026-04-28T03:00:21.236493,0.079,0.086,0.108
2026-04-28T03:00:21.236590,0.095,0.086,0.108
2026-04-28T03:00:21.236673,0.084,0.086,0.108
2026-04-28T03:00:21.236763,0.089,0.086,0.108
2026-04-28T03:00:21.236850,0.087,0.086,0.108
2026-04-28T03:00:21.236932,0.083,0.086,0.108
2026-04-28T03:00:21.237013,0.082,0.085,0.108
2026-04-28T03:00:21.237092,0.079,0.085,0.108
2026-04-28T03:00:21.237193,0.098,0.086,0.108
2026-04-28T03:00:21.237281,0.089,0.086,0.108
2026-04-28T03:00:21.237379,0.098,0.086,0.108
2026-04-28T03:00:21.237464,0.086,0.085,0.108
2026-04-28T03:00:21.237549,0.084,0.085,0.108
2026-04-28T03:00:21.237637,0.087,0.085,0.108
2026-04-28T03:00:21.237726,0.083,0.085,0.108
2026-04-28T03:00:21.237815,0.095,0.086,0.108
2026-04-28T03:00:21.237897,0.084,0.086,0.108
2026-04-28T03:00:21.237979,0.082,0.086,0.108
2026-04-28T03:00:21.238059,0.080,0.085,0.108
2026-04-28T03:00:21.238141,0.082,0.085,0.108
2026-04-28T03:00:21.238220,0.080,0.085,0.108
2026-04-28T03:00:21.238299,0.079,0.085,0.105
2026-04-28T03:00:21.238378,0.079,0.085,0.104
