Timestamp,Telemetry_Gap_ms,Telemetry_Mean_Gap_ms,Telemetry_Max_Gap_ms,Telemetry_Std_Gap_ms,Blockchain_TX_Latency_ms,TX_Count,Block_Number,Blockchain_Status,Altitude_m,Speed_mps,Heading_deg,Latitude,Longitude,Voltage_V,Current_A,Satellites
2026-08-24T06:04:51.921845,3.115,3.115,3.115,0.000,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.000,0,0.0000000,0.0000000,0.000,0.000,0
2026-08-24T06:04:51.925890,3.989,3.552,3.989,0.618,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.000,0,0.0000000,0.0000000,0.000,0.000,0
2026-08-24T06:04:51.926443,0.651,2.585,3.989,1.731,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.000,0,0.0000000,0.0000000,0.000,0.000,0
2026-08-24T06:04:51.929017,2.583,2.585,3.989,1.413,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.000,0,24.3676202,88.6262831,0.000,0.000,0
2026-08-24T06:04:51.930388,1.310,2.330,3.989,1.350,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.012,257,24.3676202,88.6262831,0.000,0.000,0
2026-08-24T06:04:51.933032,2.671,2.387,3.989,1.216,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.012,257,24.3676202,88.6262831,0.000,-0.010,0
2026-08-24T06:04:51.933390,0.406,2.104,3.989,1.339,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.012,257,24.3676202,88.6262831,0.000,-0.010,0
2026-08-24T06:04:51.933668,0.278,1.876,3.989,1.397,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.012,257,24.3676202,88.6262831,0.000,-0.010,0
2026-08-24T06:04:51.933964,0.287,1.699,3.989,1.410,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.012,257,24.3676202,88.6262831,0.000,-0.010,0
2026-08-24T06:04:51.934426,0.431,1.572,3.989,1.389,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.012,257,24.3676202,88.6262831,0.000,-0.010,0
2026-08-24T06:04:51.936358,1.951,1.607,3.989,1.322,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.012,257,24.3676202,88.6262831,0.000,-0.010,0
2026-08-24T06:04:51.936827,0.456,1.511,3.989,1.304,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.012,257,24.3676202,88.6262831,0.000,-0.010,0
2026-08-24T06:04:51.939644,2.795,1.610,3.989,1.298,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.012,257,24.3676202,88.6262831,0.000,-0.010,0
2026-08-24T06:04:51.940243,0.583,1.536,3.989,1.277,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.012,257,24.3676202,88.6262831,0.000,-0.010,0
2026-08-24T06:04:51.941388,1.155,1.511,3.989,1.235,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.012,257,24.3676202,88.6262831,0.000,-0.010,0
2026-08-24T06:04:51.941745,0.378,1.440,3.989,1.226,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.012,257,24.3676202,88.6262831,0.000,-0.010,7
2026-08-24T06:04:51.942044,0.316,1.374,3.989,1.218,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.012,257,24.3676202,88.6262831,0.000,-0.010,7
2026-08-24T06:04:51.942324,0.284,1.313,3.989,1.209,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.012,257,24.3676202,88.6262831,0.000,-0.010,7
2026-08-24T06:04:51.942604,0.278,1.259,3.989,1.199,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.012,257,24.3676202,88.6262831,0.000,-0.010,7
2026-08-24T06:04:51.942893,0.285,1.210,3.989,1.187,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.012,257,24.3676202,88.6262831,0.000,-0.010,7
2026-08-24T06:04:51.970820,27.871,2.480,27.871,5.932,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.012,257,24.3676202,88.6262831,0.000,-0.010,7
2026-08-24T06:04:51.972068,1.312,2.427,27.871,5.794,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.012,257,24.3676202,88.6262831,0.000,-0.010,7
2026-08-24T06:04:51.972328,0.272,2.333,27.871,5.679,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.012,257,24.3676202,88.6262831,0.000,-0.010,7
2026-08-24T06:04:51.972566,0.240,2.246,27.871,5.570,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.012,257,24.3676202,88.6262831,0.000,-0.010,7
2026-08-24T06:04:51.972823,0.234,2.165,27.871,5.468,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.011,257,24.3676202,88.6262831,0.000,-0.010,7
2026-08-24T06:04:51.974448,1.632,2.145,27.871,5.358,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.011,257,24.3676202,88.6262831,0.000,-0.010,7
2026-08-24T06:04:51.974713,0.259,2.075,27.871,5.267,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.011,257,24.3676202,88.6262831,0.000,-0.010,7
2026-08-24T06:04:51.975737,1.022,2.037,27.871,5.172,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.011,257,24.3676202,88.6262831,0.000,-0.010,7
2026-08-24T06:04:51.976023,0.294,1.977,27.871,5.089,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.011,257,24.3676202,88.6262831,0.000,-0.010,7
2026-08-24T06:04:51.976272,0.251,1.920,27.871,5.011,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.011,257,24.3676202,88.6262831,0.000,-0.010,7
2026-08-24T06:04:51.979152,2.877,1.951,27.871,4.930,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.011,257,24.3676202,88.6262831,0.000,-0.010,7
2026-08-24T06:04:51.979421,0.267,1.898,27.871,4.858,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.011,257,24.3676202,88.6262831,0.000,-0.010,7
2026-08-24T06:04:51.979705,0.275,1.849,27.871,4.790,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.011,257,24.3676202,88.6262831,0.000,-0.010,7
2026-08-24T06:04:51.981786,2.078,1.855,27.871,4.717,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.011,257,24.3676202,88.6262831,0.000,-0.010,7
2026-08-24T06:04:51.982054,0.275,1.810,27.871,4.655,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.011,257,24.3676202,88.6262831,0.000,-0.010,7
2026-08-24T06:04:51.982319,0.267,1.767,27.871,4.595,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.011,257,24.3676202,88.6262831,0.000,-0.010,7
2026-08-24T06:04:51.982579,0.256,1.727,27.871,4.538,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.011,257,24.3676202,88.6262831,0.000,-0.010,7
2026-08-24T06:04:51.984336,1.756,1.727,27.871,4.476,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.011,257,24.3676202,88.6262831,0.000,-0.010,7
2026-08-24T06:04:51.985331,0.993,1.709,27.871,4.418,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.011,257,24.3676202,88.6262831,0.000,-0.010,7
2026-08-24T06:04:51.985596,0.267,1.673,27.871,4.367,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.011,257,24.3676202,88.6262831,0.000,-0.010,7
2026-08-24T06:04:52.021556,35.895,2.507,35.895,6.868,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.011,257,24.3676202,88.6262831,0.000,-0.010,7
2026-08-24T06:04:52.021919,0.413,2.457,35.895,6.791,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.011,257,24.3676202,88.6262831,0.000,-0.010,7
2026-08-24T06:04:52.022204,0.291,2.407,35.895,6.718,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.011,257,24.3676202,88.6262831,0.000,-0.010,7
2026-08-24T06:04:52.022948,0.742,2.369,35.895,6.644,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.011,257,24.3676202,88.6262831,0.000,-0.010,7
