Timestamp,Telemetry_Gap_ms,Mean_Gap_ms,Max_Gap_ms
2026-08-21T23:01:03.357137,0.353,0.353,0.353
2026-08-21T23:01:03.357374,0.299,0.326,0.353
2026-08-21T23:01:03.357531,0.171,0.274,0.353
2026-08-21T23:01:03.357684,0.145,0.242,0.353
2026-08-21T23:01:03.357833,0.157,0.225,0.353
2026-08-21T23:01:03.357969,0.139,0.211,0.353
2026-08-21T23:01:03.358099,0.133,0.200,0.353
2026-08-21T23:01:03.358230,0.131,0.191,0.353
2026-08-21T23:01:03.358361,0.130,0.184,0.353
2026-08-21T23:01:03.358492,0.132,0.179,0.353
2026-08-21T23:01:03.358618,0.126,0.174,0.353
2026-08-21T23:01:03.358756,0.137,0.171,0.353
2026-08-21T23:01:03.358895,0.139,0.169,0.353
2026-08-21T23:01:03.359022,0.128,0.166,0.353
2026-08-21T23:01:03.359201,0.177,0.166,0.353
2026-08-21T23:01:03.359337,0.139,0.165,0.353
2026-08-21T23:01:03.359487,0.150,0.164,0.353
2026-08-21T23:01:03.359616,0.129,0.162,0.353
2026-08-21T23:01:03.359782,0.163,0.162,0.353
2026-08-21T23:01:03.359928,0.148,0.161,0.353
2026-08-21T23:01:03.360048,0.123,0.159,0.353
2026-08-21T23:01:03.360165,0.117,0.157,0.353
2026-08-21T23:01:03.360279,0.115,0.156,0.353
2026-08-21T23:01:03.360396,0.116,0.154,0.353
2026-08-21T23:01:03.360510,0.114,0.152,0.353
2026-08-21T23:01:03.360623,0.114,0.151,0.353
2026-08-21T23:01:03.360771,0.125,0.150,0.353
2026-08-21T23:01:03.360906,0.152,0.150,0.353
2026-08-21T23:01:03.361025,0.123,0.149,0.353
2026-08-21T23:01:03.361142,0.118,0.148,0.353
2026-08-21T23:01:03.361255,0.113,0.147,0.353
2026-08-21T23:01:03.361369,0.113,0.146,0.353
2026-08-21T23:01:03.361485,0.116,0.145,0.353
2026-08-21T23:01:03.361597,0.113,0.144,0.353
2026-08-21T23:01:03.361758,0.156,0.144,0.353
2026-08-21T23:01:03.361895,0.139,0.144,0.353
2026-08-21T23:01:03.362038,0.142,0.144,0.353
2026-08-21T23:01:03.362168,0.128,0.144,0.353
2026-08-21T23:01:03.362313,0.140,0.144,0.353
2026-08-21T23:01:03.362465,0.154,0.144,0.353
2026-08-21T23:01:03.362587,0.130,0.144,0.353
2026-08-21T23:01:03.362715,0.126,0.143,0.353
2026-08-21T23:01:03.362839,0.125,0.143,0.353
2026-08-21T23:01:03.362956,0.118,0.142,0.353
2026-08-21T23:01:03.363070,0.114,0.142,0.353
2026-08-21T23:01:03.363185,0.115,0.141,0.353
2026-08-21T23:01:03.363300,0.114,0.140,0.353
2026-08-21T23:01:03.363429,0.127,0.140,0.353
2026-08-21T23:01:03.363552,0.123,0.140,0.353
2026-08-21T23:01:03.363717,0.152,0.140,0.353
2026-08-21T23:01:03.363856,0.152,0.140,0.353
2026-08-21T23:01:03.363976,0.123,0.140,0.353
2026-08-21T23:01:03.364097,0.120,0.139,0.353
2026-08-21T23:01:03.364211,0.116,0.139,0.353
2026-08-21T23:01:03.364361,0.148,0.139,0.353
