Timestamp,Latency_ms,Blockchain_Status
1776492481.6548326,5.654335021972656,ON_TRANSACTION
1776492481.6550174,0.18477439880371094,ON_TRANSACTION
1776492481.6551416,0.12421607971191406,ON_TRANSACTION
1776492481.6569414,1.7998218536376953,ON_TRANSACTION
1776492481.657072,0.13065338134765625,ON_TRANSACTION
1776492481.657185,0.11301040649414062,ON_TRANSACTION
1776492481.6594646,2.279520034790039,ON_TRANSACTION
1776492481.6595867,0.1220703125,ON_TRANSACTION
1776492481.6597385,0.1518726348876953,ON_TRANSACTION
1776492481.6601815,0.4429817199707031,ON_TRANSACTION
1776492481.6603358,0.15425682067871094,ON_TRANSACTION
1776492481.6622238,1.8880367279052734,ON_TRANSACTION
1776492481.6623816,0.15783309936523438,ON_TRANSACTION
1776492481.6624858,0.10418891906738281,ON_TRANSACTION
1776492481.6634305,0.9446144104003906,ON_TRANSACTION
1776492481.665282,1.8515586853027344,ON_TRANSACTION
1776492481.6669643,1.682281494140625,ON_TRANSACTION
1776492481.6671133,0.14901161193847656,ON_TRANSACTION
1776492481.6672182,0.1049041748046875,ON_TRANSACTION
1776492481.6673186,0.10037422180175781,ON_TRANSACTION
1776492481.7048357,37.51707077026367,ON_TRANSACTION
1776492481.705031,0.1952648162841797,ON_TRANSACTION
1776492481.7051353,0.10442733764648438,ON_TRANSACTION
1776492481.7068825,1.74713134765625,ON_TRANSACTION
1776492481.7069933,0.11086463928222656,ON_TRANSACTION
1776492481.70709,0.09655952453613281,ON_TRANSACTION
1776492481.7100062,2.9163360595703125,ON_TRANSACTION
1776492481.710168,0.16164779663085938,ON_TRANSACTION
1776492481.712945,2.777099609375,ON_TRANSACTION
1776492481.7131264,0.18143653869628906,ON_TRANSACTION
1776492481.7132757,0.14925003051757812,ON_TRANSACTION
1776492481.7133856,0.10991096496582031,ON_TRANSACTION
1776492481.7135031,0.11754035949707031,ON_TRANSACTION
1776492481.7136073,0.10418891906738281,ON_TRANSACTION
1776492481.7140734,0.4661083221435547,ON_TRANSACTION
1776492481.714192,0.11849403381347656,ON_TRANSACTION
1776492481.7164998,2.307891845703125,ON_TRANSACTION
1776492481.716671,0.17118453979492188,ON_TRANSACTION
1776492481.7171323,0.46133995056152344,ON_TRANSACTION
1776492481.7172472,0.11491775512695312,ON_TRANSACTION
1776492481.7548673,37.62006759643555,ON_TRANSACTION
1776492481.755094,0.22673606872558594,ON_TRANSACTION
1776492481.7551992,0.10514259338378906,ON_TRANSACTION
1776492481.757157,1.9578933715820312,ON_TRANSACTION
1776492481.7572765,0.11944770812988281,ON_TRANSACTION
1776492481.7573717,0.09512901306152344,ON_TRANSACTION
1776492481.7574599,0.08821487426757812,ON_TRANSACTION
1776492481.7594178,1.9578933715820312,ON_TRANSACTION
1776492481.7595167,0.09894371032714844,ON_TRANSACTION
1776492481.7601628,0.6461143493652344,ON_TRANSACTION
1776492481.7602923,0.12946128845214844,ON_TRANSACTION
1776492481.7622092,1.9168853759765625,ON_TRANSACTION
1776492481.7623246,0.11539459228515625,ON_TRANSACTION
1776492481.7624166,0.09202957153320312,ON_TRANSACTION
1776492481.7625008,0.08416175842285156,ON_TRANSACTION
