Timestamp,Update_Gap_ms,Blockchain_Status
1776371573.4456177,4.470348358154297,ON
1776371573.4458082,0.19049644470214844,ON
1776371573.4459403,0.13208389282226562,ON
1776371573.4471416,1.2013912200927734,ON
1776371573.4472902,0.14853477478027344,ON
1776371573.4474196,0.12946128845214844,ON
1776371573.4496906,2.270936965942383,ON
1776371573.449818,0.12731552124023438,ON
1776371573.4499338,0.11587142944335938,ON
1776371573.4500425,0.1087188720703125,ON
1776371573.4502003,0.15783309936523438,ON
1776371573.4525115,2.311229705810547,ON
1776371573.4526637,0.15211105346679688,ON
1776371573.4527845,0.12087821960449219,ON
1776371573.4539921,1.207590103149414,ON
1776371573.4541278,0.13566017150878906,ON
1776371573.454257,0.12922286987304688,ON
1776371573.4576612,3.4041404724121094,ON
1776371573.4578223,0.16117095947265625,ON
1776371573.457944,0.12159347534179688,ON
1776371573.495658,37.71400451660156,ON
1776371573.495851,0.19311904907226562,ON
1776371573.4959755,0.12445449829101562,ON
1776371573.4971712,1.195669174194336,ON
1776371573.4973106,0.13947486877441406,ON
1776371573.4974341,0.12350082397460938,ON
1776371573.497545,0.11086463928222656,ON
1776371573.4998035,2.2585391998291016,ON
1776371573.499924,0.12040138244628906,ON
1776371573.50219,2.2661685943603516,ON
1776371573.5023766,0.18644332885742188,ON
1776371573.5025027,0.12612342834472656,ON
1776371573.5026362,0.133514404296875,ON
1776371573.5049038,2.267599105834961,ON
1776371573.505024,0.1201629638671875,ON
1776371573.505142,0.11801719665527344,ON
1776371573.5074022,2.2602081298828125,ON
1776371573.507521,0.11873245239257812,ON
1776371573.5087066,1.1856555938720703,ON
1776371573.5088227,0.11610984802246094,ON
1776371573.5456605,36.83781623840332,ON
1776371573.545826,0.16546249389648438,ON
1776371573.5459554,0.12946128845214844,ON
1776371573.5471609,1.2054443359375,ON
1776371573.5473087,0.14781951904296875,ON
1776371573.5474415,0.1327991485595703,ON
1776371573.551296,3.854513168334961,ON
1776371573.5515943,0.2982616424560547,ON
1776371573.5517514,0.1571178436279297,ON
1776371573.551877,0.12564659118652344,ON
1776371573.5520542,0.17714500427246094,ON
1776371573.552186,0.13184547424316406,ON
1776371573.5523438,0.15783309936523438,ON
1776371573.552475,0.13113021850585938,ON
1776371573.5525863,0.11134147644042969,ON
1776371573.5548968,2.310514450073242,ON
1776371573.555055,0.15807151794433594,ON
1776371573.555188,0.13303756713867188,ON
1776371573.5553343,0.14638900756835938,ON
1776371573.555459,0.12469291687011719,ON
1776371573.5954425,39.983510971069336,ON
1776371573.5956616,0.21910667419433594,ON
1776371573.5958035,0.1418590545654297,ON
1776371573.59702,1.2164115905761719,ON
1776371573.5971625,0.14257431030273438,ON
1776371573.5973089,0.14638900756835938,ON
1776371573.597462,0.15306472778320312,ON
1776371573.5997977,2.335786819458008,ON
1776371573.5999684,0.17070770263671875,ON
1776371573.602301,2.332448959350586,ON
1776371573.6025035,0.20265579223632812,ON
1776371573.602644,0.1404285430908203,ON
1776371573.6027932,0.14925003051757812,ON
