Timestamp,Telemetry_Gap_ms,Mean_Gap_ms,Max_Gap_ms
2026-08-21T22:59:53.351695,0.368,0.368,0.368
2026-08-21T22:59:53.351952,0.335,0.351,0.368
2026-08-21T22:59:53.352134,0.198,0.300,0.368
2026-08-21T22:59:53.352287,0.159,0.265,0.368
2026-08-21T22:59:53.352431,0.145,0.241,0.368
2026-08-21T22:59:53.352570,0.140,0.224,0.368
2026-08-21T22:59:53.352722,0.150,0.213,0.368
2026-08-21T22:59:53.352866,0.146,0.205,0.368
2026-08-21T22:59:53.353003,0.137,0.198,0.368
2026-08-21T22:59:53.353141,0.138,0.192,0.368
2026-08-21T22:59:53.353276,0.135,0.186,0.368
2026-08-21T22:59:53.353408,0.132,0.182,0.368
2026-08-21T22:59:53.353543,0.136,0.178,0.368
2026-08-21T22:59:53.353682,0.129,0.175,0.368
2026-08-21T22:59:53.353875,0.199,0.176,0.368
2026-08-21T22:59:53.354028,0.155,0.175,0.368
2026-08-21T22:59:53.354191,0.163,0.174,0.368
2026-08-21T22:59:53.354332,0.142,0.173,0.368
2026-08-21T22:59:53.354465,0.134,0.171,0.368
2026-08-21T22:59:53.354611,0.144,0.169,0.368
2026-08-21T22:59:53.354757,0.143,0.168,0.368
2026-08-21T22:59:53.354894,0.140,0.167,0.368
2026-08-21T22:59:53.355022,0.130,0.165,0.368
2026-08-21T22:59:53.355151,0.130,0.164,0.368
2026-08-21T22:59:53.355277,0.125,0.162,0.368
2026-08-21T22:59:53.355404,0.128,0.161,0.368
2026-08-21T22:59:53.355531,0.126,0.159,0.368
2026-08-21T22:59:53.355667,0.128,0.158,0.368
2026-08-21T22:59:53.355799,0.140,0.158,0.368
2026-08-21T22:59:53.355929,0.131,0.157,0.368
2026-08-21T22:59:53.356055,0.126,0.156,0.368
2026-08-21T22:59:53.356180,0.125,0.155,0.368
2026-08-21T22:59:53.356306,0.126,0.154,0.368
2026-08-21T22:59:53.356429,0.124,0.153,0.368
2026-08-21T22:59:53.356587,0.155,0.153,0.368
