Timestamp,Telemetry_Gap_ms,Telemetry_Mean_Gap_ms,Telemetry_Max_Gap_ms,Telemetry_Std_Gap_ms,Blockchain_TX_Latency_ms,TX_Count,Block_Number,Blockchain_Status,Altitude_m,Speed_mps,Heading_deg,Latitude,Longitude,Voltage_V,Current_A,Satellites
2026-08-24T05:56:34.935840,3.713,3.713,3.713,0.000,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.000,0,0.0000000,0.0000000,0.000,0.000,0
2026-08-24T05:56:34.939752,3.931,3.822,3.931,0.154,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.000,0,0.0000000,0.0000000,0.000,0.000,0
2026-08-24T05:56:34.940264,0.514,2.720,3.931,1.913,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.000,0,0.0000000,0.0000000,0.000,0.000,0
2026-08-24T05:56:34.940578,0.372,2.133,3.931,1.954,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.000,0,24.3677150,88.6261626,0.000,0.000,0
2026-08-24T05:56:34.943470,2.881,2.282,3.931,1.725,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.008,257,24.3677150,88.6261626,0.000,0.000,0
2026-08-24T05:56:34.943955,0.476,1.981,3.931,1.710,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.008,257,24.3677150,88.6261626,0.000,-0.010,0
2026-08-24T05:56:34.946359,2.404,2.042,3.931,1.569,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.008,257,24.3677150,88.6261626,0.000,-0.010,0
2026-08-24T05:56:34.946662,0.318,1.826,3.931,1.575,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.008,257,24.3677150,88.6261626,0.000,-0.010,0
2026-08-24T05:56:34.946966,0.306,1.657,3.931,1.558,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.008,257,24.3677150,88.6261626,0.000,-0.010,0
2026-08-24T05:56:34.947237,0.268,1.518,3.931,1.533,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.008,257,24.3677150,88.6261626,0.000,-0.010,0
2026-08-24T05:56:34.947648,0.393,1.416,3.931,1.494,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.008,257,24.3677150,88.6261626,0.000,-0.010,0
2026-08-24T05:56:34.949445,1.796,1.448,3.931,1.429,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.008,257,24.3677150,88.6261626,0.000,-0.010,0
2026-08-24T05:56:34.949949,0.510,1.376,3.931,1.392,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.008,257,24.3677150,88.6261626,0.000,-0.010,0
2026-08-24T05:56:34.952513,2.532,1.458,3.931,1.373,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.008,257,24.3677150,88.6261626,0.000,-0.010,0
2026-08-24T05:56:34.953538,1.039,1.430,3.931,1.327,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.008,257,24.3677150,88.6261626,0.000,-0.010,0
2026-08-24T05:56:34.953902,0.370,1.364,3.931,1.309,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.008,257,24.3677150,88.6261626,0.000,-0.010,7
2026-08-24T05:56:34.954219,0.306,1.302,3.931,1.294,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.008,257,24.3677150,88.6261626,0.000,-0.010,7
2026-08-24T05:56:34.954545,0.324,1.247,3.931,1.276,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.008,257,24.3677150,88.6261626,0.000,-0.010,7
2026-08-24T05:56:34.954845,0.310,1.198,3.931,1.258,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.008,257,24.3677150,88.6261626,0.000,-0.010,7
2026-08-24T05:56:34.955132,0.286,1.152,3.931,1.242,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.008,257,24.3677150,88.6261626,0.000,-0.010,7
2026-08-24T05:56:34.985582,30.424,2.546,30.424,6.501,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.008,257,24.3677150,88.6261626,0.000,-0.010,7
2026-08-24T05:56:34.985933,0.371,2.448,30.424,6.362,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.008,257,24.3677150,88.6261626,0.000,-0.010,7
2026-08-24T05:56:34.986217,0.296,2.354,30.424,6.231,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.008,257,24.3677150,88.6261626,0.000,-0.010,7
2026-08-24T05:56:34.987651,1.436,2.316,30.424,6.097,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.008,257,24.3677150,88.6261626,0.000,-0.010,7
2026-08-24T05:56:34.987925,0.275,2.234,30.424,5.983,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.008,257,24.3677150,88.6261626,0.000,-0.010,7
2026-08-24T05:56:34.988178,0.255,2.158,30.424,5.875,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.008,257,24.3677150,88.6261626,0.000,-0.010,7
2026-08-24T05:56:34.990879,2.697,2.178,30.424,5.762,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.008,257,24.3677150,88.6261626,0.000,-0.010,7
2026-08-24T05:56:34.991136,0.257,2.109,30.424,5.666,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.008,257,24.3677150,88.6261626,0.000,-0.010,7
2026-08-24T05:56:34.993055,1.915,2.103,30.424,5.564,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.008,257,24.3677150,88.6261626,0.000,-0.010,7
2026-08-24T05:56:34.993314,0.261,2.041,30.424,5.477,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.008,257,24.3677150,88.6261626,0.000,-0.010,7
2026-08-24T05:56:34.993604,0.290,1.985,30.424,5.394,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.008,257,24.3677150,88.6261626,0.000,-0.010,7
2026-08-24T05:56:34.993873,0.266,1.931,30.424,5.315,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.008,257,24.3677150,88.6261626,0.000,-0.010,7
2026-08-24T05:56:34.994665,0.792,1.897,30.424,5.235,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.008,257,24.3677150,88.6261626,0.000,-0.010,7
2026-08-24T05:56:34.994929,0.265,1.849,30.424,5.163,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.008,257,24.3677150,88.6261626,0.000,-0.010,7
2026-08-24T05:56:34.995375,0.446,1.808,30.424,5.092,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.008,257,24.3677150,88.6261626,0.000,-0.010,7
2026-08-24T05:56:34.995636,0.257,1.765,30.424,5.025,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.008,257,24.3677150,88.6261626,0.000,-0.010,7
2026-08-24T05:56:34.997415,1.776,1.766,30.424,4.955,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.008,257,24.3677150,88.6261626,0.000,-0.010,7
2026-08-24T05:56:34.997675,0.263,1.726,30.424,4.894,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.008,257,24.3677150,88.6261626,0.000,-0.010,7
2026-08-24T05:56:34.998094,0.417,1.693,30.424,4.834,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.008,257,24.3677150,88.6261626,0.000,-0.010,7
2026-08-24T05:56:34.998351,0.257,1.657,30.424,4.777,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.008,257,24.3677150,88.6261626,0.000,-0.010,7
2026-08-24T05:56:35.035506,37.102,2.521,37.102,7.272,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.008,257,24.3677150,88.6261626,0.000,-0.010,7
2026-08-24T05:56:35.035889,0.410,2.471,37.102,7.191,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.008,257,24.3677150,88.6261626,0.000,-0.010,7
2026-08-24T05:56:35.036199,0.321,2.421,37.102,7.112,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.008,257,24.3677150,88.6261626,0.000,-0.010,7
2026-08-24T05:56:35.038031,1.822,2.407,37.102,7.029,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.008,257,24.3677150,88.6261626,0.000,-0.010,7
2026-08-24T05:56:35.038336,0.314,2.361,37.102,6.956,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.008,257,24.3677150,88.6261626,0.000,-0.010,7
2026-08-24T05:56:35.040885,2.543,2.365,37.102,6.878,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.008,257,24.3677150,88.6261626,0.000,-0.010,7
2026-08-24T05:56:35.041187,0.310,2.321,37.102,6.810,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.008,257,24.3677150,88.6261626,0.000,-0.010,7
2026-08-24T05:56:35.043114,1.925,2.313,37.102,6.737,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.008,257,24.3677150,88.6261626,0.000,-0.010,7
2026-08-24T05:56:35.043408,0.292,2.271,37.102,6.673,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.008,257,24.3677150,88.6261626,0.000,-0.010,7
2026-08-24T05:56:35.043681,0.278,2.232,37.102,6.610,0.000,0,0,WAITING FOR FIRST TX...,0.000,0.008,257,24.3677150,88.6261626,0.000,-0.010,7
