Timestamp,Telemetry_Gap_ms,Mean_Gap_ms,Max_Gap_ms
2026-08-21T23:11:14.201636,0.370,0.370,0.370
2026-08-21T23:11:14.201910,0.340,0.355,0.370
2026-08-21T23:11:14.202081,0.185,0.299,0.370
2026-08-21T23:11:14.202233,0.156,0.263,0.370
2026-08-21T23:11:14.202380,0.148,0.240,0.370
2026-08-21T23:11:14.202523,0.143,0.224,0.370
2026-08-21T23:11:14.202675,0.143,0.212,0.370
2026-08-21T23:11:14.202830,0.163,0.206,0.370
2026-08-21T23:11:14.202975,0.148,0.200,0.370
2026-08-21T23:11:14.203118,0.143,0.194,0.370
2026-08-21T23:11:14.203259,0.142,0.189,0.370
2026-08-21T23:11:14.203395,0.135,0.185,0.370
2026-08-21T23:11:14.203534,0.139,0.181,0.370
2026-08-21T23:11:14.203676,0.134,0.178,0.370
2026-08-21T23:11:14.203879,0.207,0.180,0.370
2026-08-21T23:11:14.204035,0.159,0.179,0.370
2026-08-21T23:11:14.204204,0.169,0.178,0.370
2026-08-21T23:11:14.204351,0.147,0.176,0.370
2026-08-21T23:11:14.204489,0.139,0.174,0.370
2026-08-21T23:11:14.204633,0.143,0.173,0.370
2026-08-21T23:11:14.204785,0.150,0.172,0.370
2026-08-21T23:11:14.204929,0.144,0.170,0.370
2026-08-21T23:11:14.205063,0.136,0.169,0.370
2026-08-21T23:11:14.205197,0.134,0.167,0.370
2026-08-21T23:11:14.205327,0.130,0.166,0.370
2026-08-21T23:11:14.205455,0.129,0.165,0.370
2026-08-21T23:11:14.205585,0.129,0.163,0.370
2026-08-21T23:11:14.205724,0.137,0.162,0.370
2026-08-21T23:11:14.205862,0.139,0.162,0.370
2026-08-21T23:11:14.205999,0.136,0.161,0.370
2026-08-21T23:11:14.206135,0.136,0.160,0.370
2026-08-21T23:11:14.206265,0.132,0.159,0.370
2026-08-21T23:11:14.206397,0.130,0.158,0.370
2026-08-21T23:11:14.206524,0.130,0.157,0.370
2026-08-21T23:11:14.206739,0.199,0.158,0.370
2026-08-21T23:11:14.206951,0.207,0.160,0.370
2026-08-21T23:11:14.207134,0.198,0.161,0.370
2026-08-21T23:11:14.207276,0.145,0.160,0.370
2026-08-21T23:11:14.207407,0.133,0.160,0.370
2026-08-21T23:11:14.207544,0.137,0.159,0.370
2026-08-21T23:11:14.207682,0.126,0.158,0.370
2026-08-21T23:11:14.207822,0.150,0.158,0.370
2026-08-21T23:11:14.207954,0.131,0.158,0.370
2026-08-21T23:11:14.208086,0.131,0.157,0.370
2026-08-21T23:11:14.208231,0.142,0.157,0.370
2026-08-21T23:11:14.208347,0.127,0.156,0.370
2026-08-21T23:11:14.208446,0.102,0.155,0.370
2026-08-21T23:11:14.208546,0.100,0.154,0.370
2026-08-21T23:11:14.208645,0.099,0.153,0.370
2026-08-21T23:11:14.208771,0.123,0.152,0.370
2026-08-21T23:11:14.208880,0.111,0.151,0.370
2026-08-21T23:11:14.208982,0.103,0.150,0.370
2026-08-21T23:11:14.209088,0.104,0.149,0.370
2026-08-21T23:11:14.209191,0.104,0.149,0.370
2026-08-21T23:11:14.209325,0.132,0.148,0.370
2026-08-21T23:11:14.209441,0.117,0.148,0.370
2026-08-21T23:11:14.209565,0.124,0.147,0.370
2026-08-21T23:11:14.209685,0.111,0.147,0.370
2026-08-21T23:11:14.209802,0.125,0.146,0.370
2026-08-21T23:11:14.209918,0.116,0.146,0.370
2026-08-21T23:11:14.210023,0.106,0.145,0.370
2026-08-21T23:11:14.210126,0.104,0.144,0.370
2026-08-21T23:11:14.210229,0.103,0.144,0.370
2026-08-21T23:11:14.210332,0.103,0.143,0.370
2026-08-21T23:11:14.210433,0.100,0.142,0.370
2026-08-21T23:11:14.210533,0.101,0.142,0.370
2026-08-21T23:11:14.210634,0.101,0.141,0.370
2026-08-21T23:11:14.210746,0.110,0.141,0.370
2026-08-21T23:11:14.210855,0.109,0.140,0.370
2026-08-21T23:11:14.210959,0.105,0.140,0.370
2026-08-21T23:11:14.211061,0.102,0.139,0.370
2026-08-21T23:11:14.211164,0.104,0.139,0.370
2026-08-21T23:11:14.211266,0.103,0.138,0.370
2026-08-21T23:11:14.211368,0.101,0.138,0.370
2026-08-21T23:11:14.211495,0.125,0.138,0.370
2026-08-21T23:11:14.211606,0.112,0.137,0.370
2026-08-21T23:11:14.211793,0.178,0.138,0.370
2026-08-21T23:11:14.211926,0.137,0.138,0.370
2026-08-21T23:11:14.212037,0.116,0.138,0.370
2026-08-21T23:11:14.212147,0.110,0.137,0.370
2026-08-21T23:11:14.212251,0.103,0.137,0.370
2026-08-21T23:11:14.212355,0.105,0.136,0.370
2026-08-21T23:11:14.212457,0.103,0.136,0.370
2026-08-21T23:11:14.212560,0.103,0.136,0.370
2026-08-21T23:11:14.212671,0.101,0.135,0.370
2026-08-21T23:11:14.212784,0.120,0.135,0.370
2026-08-21T23:11:14.212888,0.106,0.135,0.370
2026-08-21T23:11:14.212995,0.107,0.134,0.370
2026-08-21T23:11:14.213128,0.130,0.134,0.370
2026-08-21T23:11:14.213240,0.113,0.134,0.370
2026-08-21T23:11:14.213342,0.104,0.134,0.370
2026-08-21T23:11:14.213442,0.100,0.133,0.370
2026-08-21T23:11:14.213544,0.102,0.133,0.370
2026-08-21T23:11:14.213645,0.101,0.133,0.370
2026-08-21T23:11:14.213796,0.147,0.133,0.370
2026-08-21T23:11:14.213914,0.120,0.133,0.370
2026-08-21T23:11:14.214039,0.125,0.133,0.370
2026-08-21T23:11:14.214147,0.110,0.132,0.370
2026-08-21T23:11:14.214252,0.105,0.132,0.370
2026-08-21T23:11:14.214373,0.120,0.132,0.370
2026-08-21T23:11:14.214481,0.107,0.129,0.340
2026-08-21T23:11:14.214587,0.107,0.127,0.207
2026-08-21T23:11:14.214700,0.112,0.126,0.207
2026-08-21T23:11:14.214813,0.114,0.126,0.207
2026-08-21T23:11:14.214919,0.107,0.125,0.207
2026-08-21T23:11:14.215023,0.104,0.125,0.207
2026-08-21T23:11:14.215125,0.102,0.125,0.207
2026-08-21T23:11:14.215227,0.103,0.124,0.207
2026-08-21T23:11:14.215330,0.102,0.124,0.207
2026-08-21T23:11:14.215433,0.103,0.123,0.207
2026-08-21T23:11:14.215536,0.102,0.123,0.207
2026-08-21T23:11:14.215636,0.101,0.122,0.207
2026-08-21T23:11:14.215751,0.112,0.122,0.207
2026-08-21T23:11:14.215860,0.110,0.122,0.207
2026-08-21T23:11:14.215993,0.131,0.121,0.207
2026-08-21T23:11:14.216108,0.116,0.121,0.207
2026-08-21T23:11:14.216243,0.131,0.120,0.207
2026-08-21T23:11:14.216359,0.120,0.120,0.207
2026-08-21T23:11:14.216465,0.108,0.120,0.207
2026-08-21T23:11:14.216586,0.120,0.120,0.207
2026-08-21T23:11:14.216705,0.117,0.119,0.207
2026-08-21T23:11:14.216818,0.115,0.119,0.207
2026-08-21T23:11:14.216924,0.107,0.119,0.207
2026-08-21T23:11:14.217031,0.107,0.118,0.207
2026-08-21T23:11:14.217134,0.104,0.118,0.207
2026-08-21T23:11:14.217238,0.104,0.118,0.207
2026-08-21T23:11:14.217342,0.104,0.118,0.207
2026-08-21T23:11:14.217445,0.103,0.117,0.207
2026-08-21T23:11:14.217547,0.102,0.117,0.207
2026-08-21T23:11:14.217651,0.104,0.117,0.207
2026-08-21T23:11:14.217774,0.120,0.116,0.207
2026-08-21T23:11:14.217878,0.107,0.116,0.207
2026-08-21T23:11:14.217982,0.104,0.116,0.207
2026-08-21T23:11:14.218084,0.102,0.116,0.207
2026-08-21T23:11:14.218213,0.127,0.115,0.207
2026-08-21T23:11:14.218324,0.112,0.114,0.198
2026-08-21T23:11:14.218446,0.121,0.113,0.178
2026-08-21T23:11:14.218545,0.104,0.113,0.178
2026-08-21T23:11:14.218630,0.088,0.112,0.178
