Timestamp,Update_Gap_ms,Blockchain_Status
1776371280.4615028,4.393577575683594,OFF
1776371280.4616878,0.1850128173828125,OFF
1776371280.4618633,0.17547607421875,OFF
1776371280.4642992,2.435922622680664,OFF
1776371280.4644988,0.1995563507080078,OFF
1776371280.464617,0.118255615234375,OFF
1776371280.4647155,0.09846687316894531,OFF
1776371280.4670517,2.336263656616211,OFF
1776371280.4672577,0.20599365234375,OFF
1776371280.4685798,1.322031021118164,OFF
1776371280.4688425,0.2627372741699219,OFF
1776371280.4690037,0.16117095947265625,OFF
1776371280.4691648,0.16117095947265625,OFF
1776371280.4704888,1.3239383697509766,OFF
1776371280.4707327,0.24390220642089844,OFF
1776371280.4709153,0.18262863159179688,OFF
1776371280.471082,0.1666545867919922,OFF
1776371280.4734683,2.386331558227539,OFF
1776371280.4747689,1.3005733489990234,OFF
1776371280.4749262,0.15735626220703125,OFF
1776371280.510489,35.562753677368164,OFF
1776371280.5106819,0.19288063049316406,OFF
1776371280.510817,0.13518333435058594,OFF
1776371280.5131006,2.2835731506347656,OFF
1776371280.5132341,0.133514404296875,OFF
1776371280.5155215,2.2873878479003906,OFF
1776371280.5156531,0.1316070556640625,OFF
1776371280.5157657,0.1125335693359375,OFF
1776371280.515875,0.10943412780761719,OFF
1776371280.5159822,0.10704994201660156,OFF
1776371280.5183065,2.324342727661133,OFF
1776371280.5184455,0.13899803161621094,OFF
1776371280.5185876,0.14209747314453125,OFF
1776371280.5197892,1.201629638671875,OFF
1776371280.5209904,1.2011528015136719,OFF
1776371280.5232878,2.2974014282226562,OFF
1776371280.5234144,0.1266002655029297,OFF
1776371280.5235229,0.10848045349121094,OFF
1776371280.5236356,0.11277198791503906,OFF
1776371280.5237434,0.10776519775390625,OFF
1776371280.561638,37.89472579956055,OFF
1776371280.5617938,0.1556873321533203,OFF
1776371280.5619142,0.12040138244628906,OFF
1776371280.56203,0.11587142944335938,OFF
1776371280.5621443,0.11420249938964844,OFF
1776371280.5666344,4.490137100219727,OFF
1776371280.5668073,0.1728534698486328,OFF
1776371280.5669277,0.12040138244628906,OFF
1776371280.56704,0.11229515075683594,OFF
1776371280.5671475,0.10752677917480469,OFF
1776371280.567324,0.17642974853515625,OFF
1776371280.5685642,1.2402534484863281,OFF
1776371280.5687213,0.1571178436279297,OFF
1776371280.5688436,0.12230873107910156,OFF
1776371280.5711105,2.2668838500976562,OFF
1776371280.5712574,0.1468658447265625,OFF
1776371280.571381,0.12373924255371094,OFF
1776371280.5725875,1.2063980102539062,OFF
1776371280.572713,0.12540817260742188,OFF
1776371280.5749698,2.2568702697753906,OFF
1776371280.6105187,35.54892539978027,OFF
1776371280.6106873,0.1685619354248047,OFF
1776371280.6108084,0.12111663818359375,OFF
1776371280.6130838,2.2754669189453125,OFF
1776371280.6132162,0.1323223114013672,OFF
1776371280.616571,3.354787826538086,OFF
1776371280.6167004,0.12946128845214844,OFF
1776371280.616812,0.11157989501953125,OFF
1776371280.6169217,0.10967254638671875,OFF
1776371280.6170287,0.10704994201660156,OFF
1776371280.6171815,0.15282630920410156,OFF
1776371280.618411,1.2295246124267578,OFF
1776371280.6185632,0.15211105346679688,OFF
1776371280.618683,0.11992454528808594,OFF
1776371280.6220267,3.3435821533203125,OFF
1776371280.6221716,0.14495849609375,OFF
1776371280.622304,0.1323223114013672,OFF
1776371280.6224253,0.12135505676269531,OFF
1776371280.6225612,0.13589859008789062,OFF
1776371280.622697,0.13589859008789062,OFF
1776371280.660584,37.886857986450195,OFF
1776371280.660782,0.19812583923339844,OFF
1776371280.6609106,0.1285076141357422,OFF
1776371280.6631866,2.2759437561035156,OFF
1776371280.6666286,3.442049026489258,OFF
1776371280.666795,0.16641616821289062,OFF
1776371280.6669188,0.12373924255371094,OFF
1776371280.6670308,0.11205673217773438,OFF
1776371280.668237,1.2061595916748047,OFF
1776371280.6683755,0.1385211944580078,OFF
1776371280.668562,0.18644332885742188,OFF
1776371280.6687243,0.16236305236816406,OFF
1776371280.670002,1.2776851654052734,OFF
1776371280.6701486,0.14662742614746094,OFF
1776371280.6702747,0.12612342834472656,OFF
1776371280.6736522,3.3774375915527344,OFF
1776371280.673784,0.13184547424316406,OFF
1776371280.6738954,0.11134147644042969,OFF
